rank,word,count
1,transfer,61
2,policy,57
3,cross-embodiment,51
4,locomotion,49
5,manipulation,43
6,whole-body,32
7,scaling,27
8,human,27
9,interface,20
10,dexterous,19
11,representation,18
12,dataset,18
13,foundation,17
14,action,17
15,benchmark,17
16,imitation,16
17,multi-embodiment,15
18,latent,14
19,generalist,14
20,paper,14
21,morphology,12
22,adaptation,11
23,unified,11
24,reinforcement,10
25,diffusion,10
26,skill,10
27,shared,10
28,aware,10
29,visual,9
30,morphology-aware,9
31,cross-embodied,8
32,policies,8
33,data,8
34,grasp,8
35,representations,7
36,transformer,7
37,space,7
38,generation,7
39,teleoperation,7
40,zero-shot,7
41,directly,7
42,vla,7
43,important,7
44,useful,7
45,open x-embodiment,6
46,body,6
47,multi-embodiment locomotion,6
48,policy transfer,6
49,latent action,6
50,motion,6
51,legged,6
52,morphology-agnostic,6
53,cross-embodiment manipulation,6
54,scalable,6
55,videos,6
56,egocentric,6
57,multi-task,5
58,behavior-skill,5
59,pretraining,5
60,behavior,5
61,object-centric,5
62,strong,5
63,cross-humanoid,5
64,tracking,5
65,interaction,5
66,key,5
67,open,4
68,scaling cross-embodied,4
69,visual imitation,4
70,body cage,4
71,human-humanoid,4
72,human-humanoid cross-embodiment,4
73,cross-embodiment behavior-skill,4
74,behavior-skill transfer,4
75,policy run,4
76,run end-to-end,4
77,end-to-end multi-embodiment,4
78,fast adaptation,4
79,behavior foundation,4
80,action diffusion,4
81,dexterous manipulation,4
82,cross-embodiment dexterous,4
83,dexterous grasp,4
84,grasp generation,4
85,scaling laws,4
86,legged locomotion,4
87,policy diverse,4
88,co-design,4
89,actions,4
90,data collection,4
91,manipulation navigation,4
92,navigation locomotion,4
93,cross-embodiment generalization,4
94,generalist policy,4
95,zero-shot cross-embodiment,4
96,gemini robotics,4
97,cross-humanoid locomotion,4
98,scalable whole-body,4
99,cross-embodiment transfer,4
100,versatile,4
101,unified policy,4
102,video,4
103,egocentric video,4
104,whole-body teleoperation,4
105,whole-body controller,4
106,tasks,4
107,incompatible,4
108,real-world,4
109,baseline,4
110,shows,4
111,recent,4
112,prior,4
113,reward,4
114,x-embodiment,3
115,embodiments,3
116,scale,3
117,contact,3
118,everyday,3
119,extreme,3
120,randomization,3
121,generalizable,3
122,graph-based,3
123,diverse,3
124,abstraction,3
125,world,3
126,interfaces,3
127,collection,3
128,robotics,3
129,discovery,3
130,wild,3
131,agile,3
132,visuomotor,3
133,loco-manipulation,3
134,open-world,3
135,structured,3
136,graph,3
137,survey,3
138,one-policy,3
139,framing,3
140,evidence,3
141,early,3
142,relevant,3
143,priors,3
144,reference,3
145,plus,3
146,design,3
147,showing,3
148,aligning,3
149,rt-x,2
150,x-embodiment rt-x,2
151,octo,2
152,cross-embodied crossformer,2
153,being-h0,2
154,rdt2,2
155,gr00t,2
156,manipulator-independent,2
157,manipulator-independent representations,2
158,representations visual,2
159,xirl,2
160,xskill,2
161,whirl,2
162,inhomogeneous,2
163,structure-aware transformer,2
164,transformer policy,2
165,policy inhomogeneous,2
166,inhomogeneous multi-task,2
167,multi-task reinforcement,2
168,cage,2
169,policy human,2
170,human policy,2
171,human-humanoid cross-embodiment behavior-skill,2
172,cross-embodiment behavior-skill transfer,2
173,humanoidexo,2
174,humanx,2
175,zerowbc,2
176,uniskill,2
177,run,2
178,end-to-end,2
179,policy run end-to-end,2
180,run end-to-end multi-embodiment,2
181,end-to-end multi-embodiment locomotion,2
182,h-zero,2
183,hugwbc,2
184,fast,2
185,whole-body pretraining,2
186,pretraining fast,2
187,any2any,2
188,morphology-aware policy,2
189,transfer embodiments,2
190,locoformer,2
191,unified latent,2
192,latent space,2
193,space cross-embodiment,2
194,latent action diffusion,2
195,one-policy-fits-all,2
196,x-sim,2
197,contact-conditioned locomotion,2
198,locomotion policies,2
199,cross-hand,2
200,vision-language-action,2
201,cross-hand latent,2
202,latent representation,2
203,representation vision-language-action,2
204,egomimic,2
205,object-centric dexterous,2
206,manipulation human,2
207,human motion,2
208,motion data,2
209,history-conditioned,2
210,dexformer cross-embodied,2
211,cross-embodied dexterous,2
212,manipulation history-conditioned,2
213,history-conditioned transformer,2
214,human-like,2
215,cedex cross-embodiment,2
216,generation scale,2
217,scale human-like,2
218,human-like contact,2
219,contact representations,2
220,cross-embodiment dexterous grasp,2
221,dexterous grasp generation,2
222,unimorphgrasp,2
223,robomind,2
224,humanoid-x uh-1,2
225,phuma,2
226,anybody,2
227,laws,2
228,laws locomotion,2
229,locomotion scale,2
230,scale extreme,2
231,extreme randomization,2
232,morphology-control-aware,2
233,mcarl morphology-control-aware,2
234,morphology-control-aware reinforcement,2
